claim_id,instance_id,optimizer,init_seed,delta,p1_best_expected_cut,p2_best_expected_cut,p1_n_evals,p2_n_evals,margin,preserves_direction
ALGO-C3,er_n8_p0.2_seed2,COBYLA,1,0.05,3.8047962027823927,3.4766106656270557,30,30,-0.32818553715533705,0
ALGO-C1,er_n8_p0.2_seed2,COBYLA,2,0.0,3.8047767993697095,3.8079745644326124,30,30,0.003197765062902924,1
ALGO-C2,er_n8_p0.2_seed2,COBYLA,2,0.01,3.8047767993697095,3.8079745644326124,30,30,0.003197765062902924,0
ALGO-C3,er_n8_p0.2_seed2,COBYLA,2,0.05,3.8047767993697095,3.8079745644326124,30,30,0.003197765062902924,0
ALGO-C1,er_n8_p0.2_seed2,COBYLA,3,0.0,3.8047964308311215,3.8030330746076704,30,30,-0.0017633562234511402,0
ALGO-C2,er_n8_p0.2_seed2,COBYLA,3,0.01,3.8047964308311215,3.8030330746076704,30,30,-0.0017633562234511402,0
ALGO-C3,er_n8_p0.2_seed2,COBYLA,3,0.05,3.8047964308311215,3.8030330746076704,30,30,-0.0017633562234511402,0
ALGO-C1,er_n8_p0.2_seed2,COBYLA,4,0.0,3.804796201736758,4.131318457836862,30,30,0.326522256100104,1
ALGO-C2,er_n8_p0.2_seed2,COBYLA,4,0.01,3.804796201736758,4.131318457836862,30,30,0.326522256100104,1
ALGO-C3,er_n8_p0.2_seed2,COBYLA,4,0.05,3.804796201736758,4.131318457836862,30,30,0.326522256100104,1
ALGO-C1,er_n8_p0.2_seed2,COBYLA,5,0.0,3.804789035817968,4.265724375187524,30,30,0.4609353393695561,1
ALGO-C2,er_n8_p0.2_seed2,COBYLA,5,0.01,3.804789035817968,4.265724375187524,30,30,0.4609353393695561,1
ALGO-C3,er_n8_p0.2_seed2,COBYLA,5,0.05,3.804789035817968,4.265724375187524,30,30,0.4609353393695561,1
